,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,21,0,3,3,0,0,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0
SA02,0,20,0,1,0,2,0,0,8,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
SA03,7,0,19,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
SA04,8,0,2,16,0,0,3,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
SA05,0,1,0,0,20,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
SA06,0,2,0,0,3,21,2,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0
SA07,1,0,0,1,0,5,20,0,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,0
SA08,0,0,0,1,0,0,0,24,0,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0
SA09,0,5,0,0,5,2,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
SA10,1,0,1,1,0,0,0,1,0,26,1,0,0,0,0,0,0,0,0,0,1,2,0,0
SA11,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,1,1,0,5
SA12,1,1,0,0,1,3,0,0,3,0,0,22,0,0,0,1,0,0,0,0,0,0,0,2
SA13,1,0,0,2,0,0,1,5,0,1,0,0,22,0,1,1,0,0,0,0,0,0,0,0
SA14,0,0,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,2,7,0,0,0,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,2,0,3,1,0,0,0,2,0
SA16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,1,0,8,0
SA17,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,19,0,7,1,2,0,0,0
SA18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,25,0,0,2,0,1,0
SA19,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,1,18,3,0,4,0,0
SA20,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,3,19,0,6,1,0
SA21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,0,26,0,1,0
SA22,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,2,3,1,1,0,0,23,0,0
SA23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,4,0,0,4,0,19,0
SE06,0,3,0,0,2,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,22
