,SA01,SA02,SA03,SA04,SA05,SA06,SA07,SA08,SA09,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,SA19,SA20,SA21,SA22,SA23,SE06
SA01,21,1,5,3,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
SA02,1,17,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1
SA03,4,0,25,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SA04,7,0,2,20,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA05,0,2,0,0,22,4,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SA06,0,1,1,0,6,16,1,0,1,0,0,1,0,0,0,0,0,0,4,1,0,2,0,0
SA07,1,0,3,0,0,2,22,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,2,0
SA08,1,0,0,4,0,0,0,25,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
SA09,0,4,0,0,3,2,0,0,20,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
SA10,1,0,2,0,1,1,0,1,0,26,1,0,0,0,0,0,1,0,0,0,0,0,0,0
SA11,0,1,0,0,2,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,5
SA12,0,1,1,0,3,3,0,0,2,1,0,18,0,0,0,0,0,0,0,0,0,0,1,4
SA13,0,0,0,2,0,0,1,5,0,2,0,0,23,0,0,0,0,1,0,0,0,0,0,0
SA14,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,3,1,0,2,0,0
SA15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,1,0,3,0,0,1,0,0,0
SA16,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,21,0,2,0,0,4,0,4,0
SA17,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,22,0,3,0,0,4,0,0
SA18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,23,1,0,1,0,4,0
SA19,0,3,0,0,0,3,2,0,0,0,0,0,0,1,0,0,2,0,18,2,0,3,0,0
SA20,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,4,0,3,17,0,5,0,0
SA21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,27,1,1,0
SA22,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,2,2,1,20,0,0
SA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,2,2,1,22,0
SE06,0,1,0,0,1,2,0,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,25
